,sombra_media_%,sombra_mediana_%,sombra_p90_%,sombra_max_%,h_con_sombra,h_sombra_>10%,h_sombra_>50%,sombra_irr_ponderada_%,energia_bloqueada_kWh_m2,energia_incidente_kWh_m2
SA66_ST197,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA66_ST203,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.08,0.0
SA67_ST6,99.99,100.0,100.0,100.0,8760,8760,8760,99.99,99.06,0.01
SA66_ST188,86.3,100.0,100.0,100.0,8760,7543,7457,57.73,57.19,41.88
SA66_ST182,84.23,100.0,100.0,100.0,8760,7323,7259,63.81,63.22,35.86
SA66_ST185,84.76,100.0,100.0,100.0,8760,7411,7296,59.78,59.23,39.85
SA66_ST186,85.4,100.0,100.0,100.0,8760,7445,7371,59.19,58.64,40.43
SA66_ST194,92.56,100.0,100.0,100.0,8760,8176,8059,72.27,71.6,27.48
SA67_ST1,83.22,100.0,100.0,100.0,7352,7335,7297,50.23,49.77,49.31
SA66_ST181,97.26,100.0,100.0,100.0,8760,8760,8760,93.94,93.07,6.01
SA67_ST36,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST34,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST31,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST19,99.99,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST23,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST29,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST32,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST35,100.0,100.0,100.0,100.0,8760,8760,8760,100.0,99.07,0.0
SA67_ST11,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST28,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST17,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
SA67_ST10,100.0,100.0,100.0,100.0,8760,8760,8760,99.99,99.07,0.01
